"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","test"
"1",6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7,FALSE
"2",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,FALSE
"3",7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5,FALSE
"4",6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6,FALSE
"5",7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7,FALSE
"6",6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5,FALSE
"7",8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3,FALSE
"8",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,FALSE
"9",7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,FALSE
"10",6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6,FALSE
"11",6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6,FALSE
"12",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5,FALSE
"13",7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6,FALSE
"14",6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6,FALSE
"15",5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,FALSE
"16",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,FALSE
"17",6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,FALSE
"18",7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,FALSE
"19",8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,FALSE
"20",6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,FALSE
"21",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,FALSE
"22",6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,FALSE
"23",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6,FALSE
"24",5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7,FALSE
"25",6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6,FALSE
"26",6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,FALSE
"27",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7,FALSE
"28",6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,FALSE
"29",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,FALSE
"30",6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,FALSE
"31",5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8,FALSE
"32",5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6,FALSE
"33",7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6,FALSE
"34",5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6,FALSE
"35",6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,FALSE
"36",7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,FALSE
"37",5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7,FALSE
"38",7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7,FALSE
"39",6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7,FALSE
"40",6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5,FALSE
"41",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6,FALSE
"42",7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,FALSE
"43",6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,FALSE
"44",7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,FALSE
"45",6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,FALSE
"46",6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6,FALSE
"47",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,FALSE
"48",6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,FALSE
"49",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,FALSE
"50",6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,5,FALSE
"51",6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5,FALSE
"52",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5,FALSE
"53",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,FALSE
"54",5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,FALSE
"55",5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7,FALSE
"56",6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,FALSE
"57",4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,FALSE
"58",6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5,FALSE
"59",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,FALSE
"60",7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,FALSE
"61",6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6,FALSE
"62",6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,FALSE
"63",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,FALSE
"64",6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,FALSE
"65",7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6,FALSE
"66",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,FALSE
"67",6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4,FALSE
"68",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8,FALSE
"69",6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6,FALSE
"70",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5,FALSE
"71",6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6,FALSE
"72",7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5,FALSE
"73",6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6,FALSE
"74",6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8,FALSE
"75",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,FALSE
"76",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,FALSE
"77",6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,FALSE
"78",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5,FALSE
"79",5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,FALSE
"80",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,FALSE
